id,source,federal_register_source_record_id,federal_register_docket_id,regulations_docket_id,regulations_document_ids,title,docket_title,docket_type,agency_id,docket_status,document_types,posted_date,comment_start_date,comment_end_date,open_for_comment,within_comment_period,document_count,comment_count,attachment_count,attachment_count_scope,matched_via,documents_url,docket_url,federal_register_url,last_checked_at,raw_json
regulations-direct-CMS-1848-P-CMS-2026-2377,Regulations.gov,,CMS-1848-P,CMS-2026-2377,CMS-2026-2377-0002;CMS-2026-2377-0001,Medicare and Medicaid Programs: Calendar Year 2027 Payment Policies under the Physician Fee Schedule and Other Changes to Part B Payment and Coverage Policies; Medicare Shared Savings Program Requirements; and Medicare Prescription Drug Inflation Rebate Program,CY 2027 Payment Policies under the Physician Fee Schedule and Other Changes to Part B Payment and Coverage Policies (CMS-1848-P),Rulemaking,CMS,open_for_comment,Proposed Rule,2026-07-16,2026-07-14,2026-09-15,true,true,2,94,0,first_1_of_2_documents,filter[searchTerm],https://www.regulations.gov/document/CMS-2026-2377-0002;https://www.regulations.gov/document/CMS-2026-2377-0001,https://www.regulations.gov/docket/CMS-2026-2377,,2026-07-22T20:04:45Z,"{""attachment_counts"":{""CMS-2026-2377-0002"":0},""comments_meta"":{""aggregations"":{""agencyId"":[{""docCount"":94,""value"":""CMS""}],""postedDate"":[{""docCount"":94,""fromDate"":""2026-07-16 00:00:00"",""label"":""Last 7 Days"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":94,""fromDate"":""2026-07-08 00:00:00"",""label"":""Last 15 Days"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":94,""fromDate"":""2026-06-23 00:00:00"",""label"":""Last 30 Days"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":94,""fromDate"":""2026-04-24 00:00:00"",""label"":""Last 90 Days"",""toDate"":""2026-07-22 23:59:59""}]},""filters"":{""docketId"":{""label"":""CMS-2026-2377"",""value"":""CMS-2026-2377""}},""firstPage"":true,""hasNextPage"":true,""hasPreviousPage"":false,""lastPage"":false,""numberOfElements"":5,""pageNumber"":1,""pageSize"":5,""totalElements"":94,""totalPages"":19},""docket"":{""attributes"":{""agencyId"":""CMS"",""dkAbstract"":""This major proposed rule introduces significant changes to the PFS and other Part B payment policies, ensuring updates reflect shifts in medical practice, service values, and statutory changes. It codifies new policies for the Medicare Prescription Drug Inflation Rebate Program under the Inflation Reduction Act of 2022, and includes updates to the Ambulatory Specialty Model, Medicare Diabetes Prevention Program, drugs and biologicals paid under Part B, and Medicare Shared Savings Program. Additionally, it revises Quality Payment Program policies, Rural Health Clinics, Federally Qualified Health Centers, electronic prescribing, Ambulance Fee Schedule, and Clinical Laboratory Fee Schedule regulations."",""docketType"":""Rulemaking"",""effectiveDate"":null,""keywords"":null,""modifyDate"":""2026-07-17T18:15:25Z"",""rin"":""0938-AV82"",""title"":""CY 2027 Payment Policies under the Physician Fee Schedule and Other Changes to Part B Payment and Coverage Policies (CMS-1848-P)""},""id"":""CMS-2026-2377"",""type"":""dockets""},""documents"":[{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":""2026-09-15T03:59:59Z"",""commentStartDate"":""2026-07-16T04:00:00Z"",""docketId"":""CMS-2026-2377"",""documentType"":""Proposed Rule"",""frDocNum"":""2026-14327"",""openForComment"":true,""postedDate"":""2026-07-16T04:00:00Z"",""subtype"":null,""title"":""Medicare and Medicaid Programs: Calendar Year 2027 Payment Policies under the Physician Fee Schedule and Other Changes to Part B Payment and Coverage Policies; Medicare Shared Savings Program Requirements; and Medicare Prescription Drug Inflation Rebate Program"",""withdrawn"":false,""withinCommentPeriod"":true},""id"":""CMS-2026-2377-0002"",""type"":""documents""},{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":""2026-07-17T03:59:59Z"",""commentStartDate"":""2026-07-14T04:00:00Z"",""docketId"":""CMS-2026-2377"",""documentType"":""Proposed Rule"",""frDocNum"":null,""openForComment"":false,""postedDate"":""2026-07-14T04:00:00Z"",""subtype"":null,""title"":""CY 2027 Payment Policies under the Physician Fee Schedule and Other Changes to Part B Payment and Coverage Policies (CMS-1848-P Display)"",""withdrawn"":false,""withinCommentPeriod"":false},""id"":""CMS-2026-2377-0001"",""type"":""documents""}],""documents_meta"":{""aggregations"":{""agencyId"":[{""docCount"":2,""value"":""CMS""}],""commentEndDate"":[{""docCount"":1,""fromDate"":""2026-07-22 00:00:00"",""label"":""Next 90 Days"",""toDate"":""2026-10-19 23:59:58""}],""documentType"":[{""docCount"":2,""label"":""Proposed Rule""}],""postedDate"":[{""docCount"":1,""fromDate"":""2026-07-16 00:00:00"",""label"":""Last 7 Days"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":2,""fromDate"":""2026-07-08 00:00:00"",""label"":""Last 15 Days"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":2,""fromDate"":""2026-06-23 00:00:00"",""label"":""Last 30 Days"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":2,""fromDate"":""2026-04-24 00:00:00"",""label"":""Last 90 Days"",""toDate"":""2026-07-22 23:59:59""}],""subtype"":[],""withinCommentPeriod"":[{""docCount"":1,""label"":""true""},{""docCount"":1,""label"":""false""}]},""filters"":{},""firstPage"":true,""hasNextPage"":false,""hasPreviousPage"":false,""lastPage"":true,""numberOfElements"":2,""pageNumber"":1,""pageSize"":5,""totalElements"":2,""totalPages"":1},""federal_register"":{""docket_id"":""CMS-1848-P"",""source_record_id"":"""",""title"":"""",""url"":""""}}"
regulations-direct-CMS-1850-P-CMS-2026-2344,Regulations.gov,,CMS-1850-P,CMS-2026-2344,CMS-2026-2344-0001;CMS-2026-2344-0002,CY 2027 Hospital Outpatient PPS Policy Changes and Payment Rates and Ambulatory Surgical Center Payment System Policy Changes and Payment Rates. CMS-1850-P Display,CY 2027 Hospital Outpatient PPS Policy Changes and Payment Rates and Ambulatory Surgical Center Payment System Policy Changes and Payment Rates. CMS-1850-P,Rulemaking,CMS,open_for_comment,Proposed Rule,2026-07-07,2026-07-02,2026-09-01,true,true,2,25,0,first_1_of_2_documents,filter[searchTerm],https://www.regulations.gov/document/CMS-2026-2344-0001;https://www.regulations.gov/document/CMS-2026-2344-0002,https://www.regulations.gov/docket/CMS-2026-2344,,2026-07-22T20:05:32Z,"{""attachment_counts"":{""CMS-2026-2344-0001"":0},""comments_meta"":{""aggregations"":{""agencyId"":[{""docCount"":25,""value"":""CMS""}],""postedDate"":[{""docCount"":7,""fromDate"":""2026-07-22 00:00:00"",""label"":""Today"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":12,""fromDate"":""2026-07-20 00:00:00"",""label"":""Last 3 Days"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":12,""fromDate"":""2026-07-16 00:00:00"",""label"":""Last 7 Days"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":25,""fromDate"":""2026-07-08 00:00:00"",""label"":""Last 15 Days"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":25,""fromDate"":""2026-06-23 00:00:00"",""label"":""Last 30 Days"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":25,""fromDate"":""2026-04-24 00:00:00"",""label"":""Last 90 Days"",""toDate"":""2026-07-22 23:59:59""}]},""filters"":{""docketId"":{""label"":""CMS-2026-2344"",""value"":""CMS-2026-2344""}},""firstPage"":true,""hasNextPage"":true,""hasPreviousPage"":false,""lastPage"":false,""numberOfElements"":5,""pageNumber"":1,""pageSize"":5,""totalElements"":25,""totalPages"":5},""docket"":{""attributes"":{""agencyId"":""CMS"",""dkAbstract"":""This proposed rule would revise the Medicare Hospital Outpatient Prospective Payment System and the Medicare Ambulatory Surgical Center payment system for calendar year 2027, update and refine the requirements for the Hospital Outpatient Quality Reporting Program and the Ambulatory Surgical Center Quality Reporting Program, revise the prior authorization process through the expansion of the category for hospital outpatient department, implement certain provisions of the Consolidated Appropriations Act, 2026, for off-campus outpatient departments of a provider, propose that hospital accrediting organizations with deeming authority to assess compliance with certain Emergency Medical Treatment and Labor Act administrative requirements during accreditation and reaccreditation surveys, and solicit comments on a potential separate payment under the Inpatient Prospective Payment System for domestic procurement of personal protective equipment and essential medicines."",""docketType"":""Rulemaking"",""effectiveDate"":null,""keywords"":null,""modifyDate"":""2026-07-22T14:31:07Z"",""rin"":""0938-AV83"",""title"":""CY 2027 Hospital Outpatient PPS Policy Changes and Payment Rates and Ambulatory Surgical Center Payment System Policy Changes and Payment Rates.  CMS-1850-P""},""id"":""CMS-2026-2344"",""type"":""dockets""},""documents"":[{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":""2026-07-08T03:59:59Z"",""commentStartDate"":""2026-07-02T04:00:00Z"",""docketId"":""CMS-2026-2344"",""documentType"":""Proposed Rule"",""frDocNum"":null,""openForComment"":false,""postedDate"":""2026-07-02T04:00:00Z"",""subtype"":null,""title"":""CY 2027 Hospital Outpatient PPS Policy Changes and Payment Rates and Ambulatory Surgical Center Payment System Policy Changes and Payment Rates. CMS-1850-P Display"",""withdrawn"":false,""withinCommentPeriod"":false},""id"":""CMS-2026-2344-0001"",""type"":""documents""},{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":""2026-09-01T03:59:59Z"",""commentStartDate"":""2026-07-07T04:00:00Z"",""docketId"":""CMS-2026-2344"",""documentType"":""Proposed Rule"",""frDocNum"":""2026-13656"",""openForComment"":true,""postedDate"":""2026-07-07T04:00:00Z"",""subtype"":null,""title"":""Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems; and Quality Reporting Programs; etc."",""withdrawn"":false,""withinCommentPeriod"":true},""id"":""CMS-2026-2344-0002"",""type"":""documents""}],""documents_meta"":{""aggregations"":{""agencyId"":[{""docCount"":2,""value"":""CMS""}],""commentEndDate"":[{""docCount"":1,""fromDate"":""2026-07-22 00:00:00"",""label"":""Next 90 Days"",""toDate"":""2026-10-19 23:59:58""}],""documentType"":[{""docCount"":2,""label"":""Proposed Rule""}],""postedDate"":[{""docCount"":2,""fromDate"":""2026-06-23 00:00:00"",""label"":""Last 30 Days"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":2,""fromDate"":""2026-04-24 00:00:00"",""label"":""Last 90 Days"",""toDate"":""2026-07-22 23:59:59""}],""subtype"":[],""withinCommentPeriod"":[{""docCount"":1,""label"":""true""},{""docCount"":1,""label"":""false""}]},""filters"":{},""firstPage"":true,""hasNextPage"":false,""hasPreviousPage"":false,""lastPage"":true,""numberOfElements"":2,""pageNumber"":1,""pageSize"":5,""totalElements"":2,""totalPages"":1},""federal_register"":{""docket_id"":""CMS-1850-P"",""source_record_id"":"""",""title"":"""",""url"":""""}}"
regulations-direct-CMS-1844-P-CMS-2026-2311,Regulations.gov,,CMS-1844-P,CMS-2026-2311,CMS-2026-2311-0001;CMS-2026-2311-0002,CMS-1844-P (Display),CY 2027 Home Health Prospective Payment System Rate Update and Home Infusion Therapy Services Payment Update (CMS-1844-P),Rulemaking,CMS,open_for_comment,Proposed Rule,2026-07-06,2026-07-01,2026-09-01,true,true,2,0,0,first_1_of_2_documents,filter[searchTerm],https://www.regulations.gov/document/CMS-2026-2311-0001;https://www.regulations.gov/document/CMS-2026-2311-0002,https://www.regulations.gov/docket/CMS-2026-2311,,2026-07-22T20:05:41Z,"{""attachment_counts"":{""CMS-2026-2311-0001"":0},""comments_meta"":{""aggregations"":{""agencyId"":[],""postedDate"":[]},""filters"":{""docketId"":{""label"":""CMS-2026-2311"",""value"":""CMS-2026-2311""}},""firstPage"":true,""hasNextPage"":false,""hasPreviousPage"":false,""lastPage"":true,""numberOfElements"":0,""pageNumber"":1,""pageSize"":5,""totalElements"":0,""totalPages"":0},""docket"":{""attributes"":{""agencyId"":""CMS"",""dkAbstract"":""This proposed rule updates the Medicare home health payment rates and the statutory and regulatory requirements. It discusses behavior adjustments, case-mix weights, and low-utilization payment adjustment (LUPA) thresholds. Furthermore, it discusses the home health palliative care services and the request for information (RFI) on the home health-specific wage index.\nThis rule also discusses proposals for the Home Health Quality Reporting Program (HH QRP) and the expanded Home Health Value-Based Purchasing (HHVBP) Model.\n\nLastly, address requirements for DMEPOS, provider and supplier enrollment, changes to the DME benefit expansion for infusion pumps and drugs, and the DMEPOS Competitive Bidding Program (CBP) country of origin. The rule file code is CMS-1844-P. \n\n"",""docketType"":""Rulemaking"",""effectiveDate"":null,""keywords"":null,""modifyDate"":""2026-07-06T14:01:44Z"",""rin"":""0938-AV80"",""title"":""CY 2027 Home Health Prospective Payment System Rate Update and Home Infusion Therapy Services Payment Update (CMS-1844-P)""},""id"":""CMS-2026-2311"",""type"":""dockets""},""documents"":[{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":""2026-07-07T03:59:59Z"",""commentStartDate"":""2026-07-01T04:00:00Z"",""docketId"":""CMS-2026-2311"",""documentType"":""Proposed Rule"",""frDocNum"":null,""openForComment"":false,""postedDate"":""2026-07-01T04:00:00Z"",""subtype"":null,""title"":""CMS-1844-P (Display)"",""withdrawn"":false,""withinCommentPeriod"":false},""id"":""CMS-2026-2311-0001"",""type"":""documents""},{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":""2026-09-01T03:59:59Z"",""commentStartDate"":""2026-07-06T04:00:00Z"",""docketId"":""CMS-2026-2311"",""documentType"":""Proposed Rule"",""frDocNum"":""2026-13602"",""openForComment"":true,""postedDate"":""2026-07-06T04:00:00Z"",""subtype"":null,""title"":""Calendar Year 2027 Home Health Prospective Payment System Rate Update; etc."",""withdrawn"":false,""withinCommentPeriod"":true},""id"":""CMS-2026-2311-0002"",""type"":""documents""}],""documents_meta"":{""aggregations"":{""agencyId"":[{""docCount"":2,""value"":""CMS""}],""commentEndDate"":[{""docCount"":1,""fromDate"":""2026-07-22 00:00:00"",""label"":""Next 90 Days"",""toDate"":""2026-10-19 23:59:58""}],""documentType"":[{""docCount"":2,""label"":""Proposed Rule""}],""postedDate"":[{""docCount"":2,""fromDate"":""2026-06-23 00:00:00"",""label"":""Last 30 Days"",""toDate"":""2026-07-22 23:59:59""},{""docCount"":2,""fromDate"":""2026-04-24 00:00:00"",""label"":""Last 90 Days"",""toDate"":""2026-07-22 23:59:59""}],""subtype"":[],""withinCommentPeriod"":[{""docCount"":1,""label"":""true""},{""docCount"":1,""label"":""false""}]},""filters"":{},""firstPage"":true,""hasNextPage"":false,""hasPreviousPage"":false,""lastPage"":true,""numberOfElements"":2,""pageNumber"":1,""pageSize"":5,""totalElements"":2,""totalPages"":1},""federal_register"":{""docket_id"":""CMS-1844-P"",""source_record_id"":"""",""title"":"""",""url"":""""}}"
regulations-2026-14359-CMS-10434-CMS-2023-0081,Regulations.gov,2026-14359,CMS-10434,CMS-2023-0081,CMS-2023-0081-0006;CMS-2023-0081-0001;CMS-2023-0081-0003;CMS-2023-0081-0002;CMS-2023-0081-0004,(CMS-10434 #1) Initial Application,(CMS-10434 #1) Initial Application,Nonrulemaking,CMS,closed,Notice,2024-04-23,2024-04-23,2024-05-24,false,false,6,0,4,first_1_of_6_documents,filter[searchTerm],https://www.regulations.gov/document/CMS-2023-0081-0006;https://www.regulations.gov/document/CMS-2023-0081-0001;https://www.regulations.gov/document/CMS-2023-0081-0003;https://www.regulations.gov/document/CMS-2023-0081-0002;https://www.regulations.gov/document/CMS-2023-0081-0004,https://www.regulations.gov/docket/CMS-2023-0081,https://www.federalregister.gov/documents/2026/07/16/2026-14359/medicaid-and-childrens-health-insurance-program-chip-generic-information-collection-activities,2026-07-22T20:03:19Z,"{""attachment_counts"":{""CMS-2023-0081-0006"":4},""comments_meta"":{""aggregations"":{""agencyId"":[],""postedDate"":[]},""filters"":{""docketId"":{""label"":""CMS-2023-0081"",""value"":""CMS-2023-0081""}},""firstPage"":true,""hasNextPage"":false,""hasPreviousPage"":false,""lastPage"":true,""numberOfElements"":0,""pageNumber"":1,""pageSize"":5,""totalElements"":0,""totalPages"":0},""docket"":{""attributes"":{""agencyId"":""CMS"",""dkAbstract"":""CMS-10434 #1) Initial Application"",""docketType"":""Nonrulemaking"",""effectiveDate"":null,""keywords"":null,""modifyDate"":""2024-04-23T11:18:32Z"",""rin"":null,""title"":""(CMS-10434 #1) Initial Application""},""id"":""CMS-2023-0081"",""type"":""dockets""},""documents"":[{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":""2024-05-24T03:59:59Z"",""commentStartDate"":""2024-04-23T04:00:00Z"",""docketId"":""CMS-2023-0081"",""documentType"":""Notice"",""frDocNum"":""2024\u201308658"",""openForComment"":false,""postedDate"":""2024-04-23T04:00:00Z"",""subtype"":""30 Day Proposed Information Collection"",""title"":""(CMS-10434 #1) Initial Application"",""withdrawn"":false,""withinCommentPeriod"":false},""id"":""CMS-2023-0081-0006"",""type"":""documents""},{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":null,""commentStartDate"":null,""docketId"":""CMS-2023-0081"",""documentType"":""Notice"",""frDocNum"":null,""openForComment"":false,""postedDate"":""2023-05-10T00:00:00Z"",""subtype"":null,""title"":""HOLD"",""withdrawn"":true,""withinCommentPeriod"":false},""id"":""CMS-2023-0081-0001"",""type"":""documents""},{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":null,""commentStartDate"":null,""docketId"":""CMS-2023-0081"",""documentType"":""Notice"",""frDocNum"":null,""openForComment"":false,""postedDate"":""2023-07-28T00:00:00Z"",""subtype"":null,""title"":""(CMS-10434 #1) Initial Application"",""withdrawn"":true,""withinCommentPeriod"":false},""id"":""CMS-2023-0081-0003"",""type"":""documents""},{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":null,""commentStartDate"":null,""docketId"":""CMS-2023-0081"",""documentType"":""Notice"",""frDocNum"":null,""openForComment"":false,""postedDate"":""2023-05-22T00:00:00Z"",""subtype"":null,""title"":""(CMS-10434 #1) Initial Application"",""withdrawn"":true,""withinCommentPeriod"":false},""id"":""CMS-2023-0081-0002"",""type"":""documents""},{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":null,""commentStartDate"":null,""docketId"":""CMS-2023-0081"",""documentType"":""Notice"",""frDocNum"":null,""openForComment"":false,""postedDate"":""2024-02-09T00:00:00Z"",""subtype"":null,""title"":""(CMS-10434 #1) Initial Application"",""withdrawn"":true,""withinCommentPeriod"":false},""id"":""CMS-2023-0081-0004"",""type"":""documents""}],""documents_meta"":{""aggregations"":{""agencyId"":[{""docCount"":6,""value"":""CMS""}],""commentEndDate"":[],""documentType"":[{""docCount"":6,""label"":""Notice""}],""postedDate"":[],""subtype"":[{""docCount"":1,""label"":""30 Day Proposed Information Collection""}],""withinCommentPeriod"":[{""docCount"":0,""label"":""true""},{""docCount"":6,""label"":""false""}]},""filters"":{},""firstPage"":true,""hasNextPage"":true,""hasPreviousPage"":false,""lastPage"":false,""numberOfElements"":5,""pageNumber"":1,""pageSize"":5,""totalElements"":6,""totalPages"":2},""federal_register"":{""docket_id"":""CMS-10434"",""source_record_id"":""2026-14359"",""title"":""Medicaid and Children's Health Insurance Program (CHIP) Generic Information Collection Activities: Proposed Collection; Comment Request"",""url"":""https://www.federalregister.gov/documents/2026/07/16/2026-14359/medicaid-and-childrens-health-insurance-program-chip-generic-information-collection-activities""}}"
regulations-2026-14359-CMS-10398-CMS-2024-0048,Regulations.gov,2026-14359,CMS-10398,CMS-2024-0048,CMS-2024-0048-0002;CMS-2024-0048-0001,(CMS-10398 #29) Medicaid Cost Sharing,(CMS-10398 #29) Medicaid Cost Sharing,Nonrulemaking,CMS,closed,Notice,2024-08-27,2024-06-13,2024-09-27,false,false,2,0,7,first_1_of_2_documents,filter[searchTerm],https://www.regulations.gov/document/CMS-2024-0048-0002;https://www.regulations.gov/document/CMS-2024-0048-0001,https://www.regulations.gov/docket/CMS-2024-0048,https://www.federalregister.gov/documents/2026/07/16/2026-14359/medicaid-and-childrens-health-insurance-program-chip-generic-information-collection-activities,2026-07-22T20:03:10Z,"{""attachment_counts"":{""CMS-2024-0048-0002"":7},""comments_meta"":{""aggregations"":{""agencyId"":[],""postedDate"":[]},""filters"":{""docketId"":{""label"":""CMS-2024-0048"",""value"":""CMS-2024-0048""}},""firstPage"":true,""hasNextPage"":false,""hasPreviousPage"":false,""lastPage"":true,""numberOfElements"":0,""pageNumber"":1,""pageSize"":5,""totalElements"":0,""totalPages"":0},""docket"":{""attributes"":{""agencyId"":""CMS"",""dkAbstract"":""(CMS-10398 #29) Medicaid Cost Sharing"",""docketType"":""Nonrulemaking"",""effectiveDate"":null,""keywords"":null,""modifyDate"":""2024-08-27T15:32:55Z"",""rin"":null,""title"":""(CMS-10398 #29) Medicaid Cost Sharing""},""id"":""CMS-2024-0048"",""type"":""dockets""},""documents"":[{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":""2024-09-27T03:59:59Z"",""commentStartDate"":""2024-08-27T04:00:00Z"",""docketId"":""CMS-2024-0048"",""documentType"":""Notice"",""frDocNum"":""2024\u201319228"",""openForComment"":false,""postedDate"":""2024-08-27T04:00:00Z"",""subtype"":""30 Day Proposed Information Collection"",""title"":""(CMS-10398 #29) Medicaid Cost Sharing"",""withdrawn"":false,""withinCommentPeriod"":false},""id"":""CMS-2024-0048-0002"",""type"":""documents""},{""attributes"":{""agencyId"":""CMS"",""commentEndDate"":""2024-08-13T03:59:59Z"",""commentStartDate"":""2024-06-13T04:00:00Z"",""docketId"":""CMS-2024-0048"",""documentType"":""Notice"",""frDocNum"":""2024-13127"",""openForComment"":false,""postedDate"":""2024-06-13T04:00:00Z"",""subtype"":""60 Day Proposed Information Collection"",""title"":""(CMS-10398 #29) Medicaid Cost Sharing"",""withdrawn"":false,""withinCommentPeriod"":false},""id"":""CMS-2024-0048-0001"",""type"":""documents""}],""documents_meta"":{""aggregations"":{""agencyId"":[{""docCount"":2,""value"":""CMS""}],""commentEndDate"":[],""documentType"":[{""docCount"":2,""label"":""Notice""}],""postedDate"":[],""subtype"":[{""docCount"":1,""label"":""30 Day Proposed Information Collection""},{""docCount"":1,""label"":""60 Day Proposed Information Collection""}],""withinCommentPeriod"":[{""docCount"":0,""label"":""true""},{""docCount"":2,""label"":""false""}]},""filters"":{},""firstPage"":true,""hasNextPage"":false,""hasPreviousPage"":false,""lastPage"":true,""numberOfElements"":2,""pageNumber"":1,""pageSize"":5,""totalElements"":2,""totalPages"":1},""federal_register"":{""docket_id"":""CMS-10398"",""source_record_id"":""2026-14359"",""title"":""Medicaid and Children's Health Insurance Program (CHIP) Generic Information Collection Activities: Proposed Collection; Comment Request"",""url"":""https://www.federalregister.gov/documents/2026/07/16/2026-14359/medicaid-and-childrens-health-insurance-program-chip-generic-information-collection-activities""}}"
regulations-direct-CMS-0062-P-unresolved,Regulations.gov,,CMS-0062-P,,,,,,,not_found,,,,,,,0,,,,,,,,2026-07-22T20:05:44Z,"{""message"":""No matching Regulations.gov docket found.""}"
