update_id,source_key,source_record_id,record_type,title,agency,program_focus,topic_keys,posted_date,updated_date,due_date,effective_date,docket_id,regulation_id,grant_id,opportunity_id,contract_id,vendor_keys_mentioned,rht_flag,comment_required_flag,action_required_by,importance_score,predictive_value_usd,score_evidence_json,summary,document_url,source_url,last_checked_at
upd-ca29bbb0c7acba17,medicaid_data,cmsmedicaid-77d741fa38ac9c89,dataset_signal,State Medicaid and CHIP Eligibility Processing Data,Centers for Medicare & Medicaid Services,cms;eligibility;medicaid;medicare,chip;cms;eligibility;medicaid;medicare;renewals;unwinding,2024-11-27,2026-06-26,,,,,,,,,false,false,,60,,"{""dataset_id"":""5abea2e0-3f8e-4b49-a50d-d63d5fd9103c"",""matched_keywords"":[""eligibility"",""Medicaid"",""Medicare""],""metric_name"":""beneficiaries_renewed_total"",""metric_period"":""202603"",""metric_value"":""64572"",""program_focus"":[""cms"",""eligibility"",""medicaid"",""medicare""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/cms_medicaid_dataset_signals.csv"",""source_score_evidence_keys"":[""dataset_id"",""endpoint_type"",""method"",""metric_name"",""metric_period"",""metric_value"",""rht_flag"",""signal_dimension"",""state"",""topic_keys"",""why_matters""],""state"":""LA"",""topic_keys"":[""chip"",""cms"",""eligibility"",""medicaid"",""medicare"",""renewals"",""unwinding""]}",beneficiaries_renewed_total; 64572; LA,,https://data.medicaid.gov/api/1/datastore/query/5abea2e0-3f8e-4b49-a50d-d63d5fd9103c/0,2026-07-24T04:43:51Z
upd-51d83bbf1744f0ad,medicaid_data,cmsmedicaid-c316c2dfd64e594c,dataset_signal,State Medicaid and CHIP Eligibility Processing Data,Centers for Medicare & Medicaid Services,cms;eligibility;medicaid;medicare,chip;cms;eligibility;medicaid;medicare;renewals;unwinding,2024-11-27,2026-06-26,,,,,,,,,false,false,,60,,"{""dataset_id"":""5abea2e0-3f8e-4b49-a50d-d63d5fd9103c"",""matched_keywords"":[""eligibility"",""Medicaid"",""Medicare""],""metric_name"":""beneficiaries_with_renewal_due"",""metric_period"":""202603"",""metric_value"":""108555"",""program_focus"":[""cms"",""eligibility"",""medicaid"",""medicare""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/cms_medicaid_dataset_signals.csv"",""source_score_evidence_keys"":[""dataset_id"",""endpoint_type"",""method"",""metric_name"",""metric_period"",""metric_value"",""rht_flag"",""signal_dimension"",""state"",""topic_keys"",""why_matters""],""state"":""LA"",""topic_keys"":[""chip"",""cms"",""eligibility"",""medicaid"",""medicare"",""renewals"",""unwinding""]}",beneficiaries_with_renewal_due; 108555; LA,,https://data.medicaid.gov/api/1/datastore/query/5abea2e0-3f8e-4b49-a50d-d63d5fd9103c/0,2026-07-24T04:43:51Z
upd-38fd783ac5091a14,medicaid_data,cmsmedicaid-9ea2b053e1ccc286,dataset_signal,State Medicaid and CHIP Eligibility Processing Data,Centers for Medicare & Medicaid Services,cms;eligibility;medicaid;medicare,chip;cms;eligibility;medicaid;medicare;renewals;unwinding,2024-11-27,2026-06-26,,,,,,,,,false,false,,60,,"{""dataset_id"":""5abea2e0-3f8e-4b49-a50d-d63d5fd9103c"",""matched_keywords"":[""eligibility"",""Medicaid"",""Medicare""],""metric_name"":""pending_renewals"",""metric_period"":""202603"",""metric_value"":""16545"",""program_focus"":[""cms"",""eligibility"",""medicaid"",""medicare""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/cms_medicaid_dataset_signals.csv"",""source_score_evidence_keys"":[""dataset_id"",""endpoint_type"",""method"",""metric_name"",""metric_period"",""metric_value"",""rht_flag"",""signal_dimension"",""state"",""topic_keys"",""why_matters""],""state"":""LA"",""topic_keys"":[""chip"",""cms"",""eligibility"",""medicaid"",""medicare"",""renewals"",""unwinding""]}",pending_renewals; 16545; LA,,https://data.medicaid.gov/api/1/datastore/query/5abea2e0-3f8e-4b49-a50d-d63d5fd9103c/0,2026-07-24T04:43:51Z
upd-2d5871f99fbab839,medicaid_data,cmsmedicaid-4e71263cfce33866,dataset_signal,State Medicaid and CHIP Eligibility Processing Data,Centers for Medicare & Medicaid Services,cms;eligibility;medicaid;medicare,chip;cms;eligibility;medicaid;medicare;renewals;unwinding,2024-11-27,2026-06-26,,,,,,,,,false,false,,60,,"{""dataset_id"":""5abea2e0-3f8e-4b49-a50d-d63d5fd9103c"",""matched_keywords"":[""eligibility"",""Medicaid"",""Medicare""],""metric_name"":""beneficiaries_renewed_total"",""metric_period"":""202603"",""metric_value"":""197077"",""program_focus"":[""cms"",""eligibility"",""medicaid"",""medicare""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/cms_medicaid_dataset_signals.csv"",""source_score_evidence_keys"":[""dataset_id"",""endpoint_type"",""method"",""metric_name"",""metric_period"",""metric_value"",""rht_flag"",""signal_dimension"",""state"",""topic_keys"",""why_matters""],""state"":""MA"",""topic_keys"":[""chip"",""cms"",""eligibility"",""medicaid"",""medicare"",""renewals"",""unwinding""]}",beneficiaries_renewed_total; 197077; MA,,https://data.medicaid.gov/api/1/datastore/query/5abea2e0-3f8e-4b49-a50d-d63d5fd9103c/0,2026-07-24T04:43:51Z
upd-c515dfadf4df352b,medicaid_data,cmsmedicaid-6fafce752fe529b1,dataset_signal,State Medicaid and CHIP Eligibility Processing Data,Centers for Medicare & Medicaid Services,cms;eligibility;medicaid;medicare,chip;cms;eligibility;medicaid;medicare;renewals;unwinding,2024-11-27,2026-06-26,,,,,,,,,false,false,,60,,"{""dataset_id"":""5abea2e0-3f8e-4b49-a50d-d63d5fd9103c"",""matched_keywords"":[""eligibility"",""Medicaid"",""Medicare""],""metric_name"":""beneficiaries_with_renewal_due"",""metric_period"":""202603"",""metric_value"":""248454"",""program_focus"":[""cms"",""eligibility"",""medicaid"",""medicare""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/cms_medicaid_dataset_signals.csv"",""source_score_evidence_keys"":[""dataset_id"",""endpoint_type"",""method"",""metric_name"",""metric_period"",""metric_value"",""rht_flag"",""signal_dimension"",""state"",""topic_keys"",""why_matters""],""state"":""MA"",""topic_keys"":[""chip"",""cms"",""eligibility"",""medicaid"",""medicare"",""renewals"",""unwinding""]}",beneficiaries_with_renewal_due; 248454; MA,,https://data.medicaid.gov/api/1/datastore/query/5abea2e0-3f8e-4b49-a50d-d63d5fd9103c/0,2026-07-24T04:43:51Z
upd-0cef7d4c3a69c3f3,medicaid_data,cmsmedicaid-cb4d3103216903cb,dataset_signal,State Medicaid and CHIP Eligibility Processing Data,Centers for Medicare & Medicaid Services,cms;eligibility;medicaid;medicare,chip;cms;eligibility;medicaid;medicare;renewals;unwinding,2024-11-27,2026-06-26,,,,,,,,,false,false,,60,,"{""dataset_id"":""5abea2e0-3f8e-4b49-a50d-d63d5fd9103c"",""matched_keywords"":[""eligibility"",""Medicaid"",""Medicare""],""metric_name"":""pending_renewals"",""metric_period"":""202603"",""metric_value"":""1510"",""program_focus"":[""cms"",""eligibility"",""medicaid"",""medicare""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/cms_medicaid_dataset_signals.csv"",""source_score_evidence_keys"":[""dataset_id"",""endpoint_type"",""method"",""metric_name"",""metric_period"",""metric_value"",""rht_flag"",""signal_dimension"",""state"",""topic_keys"",""why_matters""],""state"":""MA"",""topic_keys"":[""chip"",""cms"",""eligibility"",""medicaid"",""medicare"",""renewals"",""unwinding""]}",pending_renewals; 1510; MA,,https://data.medicaid.gov/api/1/datastore/query/5abea2e0-3f8e-4b49-a50d-d63d5fd9103c/0,2026-07-24T04:43:51Z
upd-71cd176d3f8a1894,medicaid_data,cmsmedicaid-fd442aae3696de62,dataset_signal,State Medicaid and CHIP Eligibility Processing Data,Centers for Medicare & Medicaid Services,cms;eligibility;medicaid;medicare,chip;cms;eligibility;medicaid;medicare;renewals;unwinding,2024-11-27,2026-06-26,,,,,,,,,false,false,,60,,"{""dataset_id"":""5abea2e0-3f8e-4b49-a50d-d63d5fd9103c"",""matched_keywords"":[""eligibility"",""Medicaid"",""Medicare""],""metric_name"":""beneficiaries_renewed_total"",""metric_period"":""202603"",""metric_value"":""62165"",""program_focus"":[""cms"",""eligibility"",""medicaid"",""medicare""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/cms_medicaid_dataset_signals.csv"",""source_score_evidence_keys"":[""dataset_id"",""endpoint_type"",""method"",""metric_name"",""metric_period"",""metric_value"",""rht_flag"",""signal_dimension"",""state"",""topic_keys"",""why_matters""],""state"":""MD"",""topic_keys"":[""chip"",""cms"",""eligibility"",""medicaid"",""medicare"",""renewals"",""unwinding""]}",beneficiaries_renewed_total; 62165; MD,,https://data.medicaid.gov/api/1/datastore/query/5abea2e0-3f8e-4b49-a50d-d63d5fd9103c/0,2026-07-24T04:43:51Z
upd-07583f221899f00d,medicaid_data,cmsmedicaid-b87a65d223a6ef24,dataset_signal,State Medicaid and CHIP Eligibility Processing Data,Centers for Medicare & Medicaid Services,cms;eligibility;medicaid;medicare,chip;cms;eligibility;medicaid;medicare;renewals;unwinding,2024-11-27,2026-06-26,,,,,,,,,false,false,,60,,"{""dataset_id"":""5abea2e0-3f8e-4b49-a50d-d63d5fd9103c"",""matched_keywords"":[""eligibility"",""Medicaid"",""Medicare""],""metric_name"":""beneficiaries_with_renewal_due"",""metric_period"":""202603"",""metric_value"":""90024"",""program_focus"":[""cms"",""eligibility"",""medicaid"",""medicare""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/cms_medicaid_dataset_signals.csv"",""source_score_evidence_keys"":[""dataset_id"",""endpoint_type"",""method"",""metric_name"",""metric_period"",""metric_value"",""rht_flag"",""signal_dimension"",""state"",""topic_keys"",""why_matters""],""state"":""MD"",""topic_keys"":[""chip"",""cms"",""eligibility"",""medicaid"",""medicare"",""renewals"",""unwinding""]}",beneficiaries_with_renewal_due; 90024; MD,,https://data.medicaid.gov/api/1/datastore/query/5abea2e0-3f8e-4b49-a50d-d63d5fd9103c/0,2026-07-24T04:43:51Z
upd-a04bcd8e8e633bdb,medicaid_data,cmsmedicaid-f2e592441e38e23a,dataset_signal,State Medicaid and CHIP Eligibility Processing Data,Centers for Medicare & Medicaid Services,cms;eligibility;medicaid;medicare,chip;cms;eligibility;medicaid;medicare;renewals;unwinding,2024-11-27,2026-06-26,,,,,,,,,false,false,,60,,"{""dataset_id"":""5abea2e0-3f8e-4b49-a50d-d63d5fd9103c"",""matched_keywords"":[""eligibility"",""Medicaid"",""Medicare""],""metric_name"":""pending_renewals"",""metric_period"":""202603"",""metric_value"":""3955"",""program_focus"":[""cms"",""eligibility"",""medicaid"",""medicare""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/cms_medicaid_dataset_signals.csv"",""source_score_evidence_keys"":[""dataset_id"",""endpoint_type"",""method"",""metric_name"",""metric_period"",""metric_value"",""rht_flag"",""signal_dimension"",""state"",""topic_keys"",""why_matters""],""state"":""MD"",""topic_keys"":[""chip"",""cms"",""eligibility"",""medicaid"",""medicare"",""renewals"",""unwinding""]}",pending_renewals; 3955; MD,,https://data.medicaid.gov/api/1/datastore/query/5abea2e0-3f8e-4b49-a50d-d63d5fd9103c/0,2026-07-24T04:43:51Z
upd-75d00cbcc2a96a3f,medicaid_data,cmsmedicaid-541b8c91f17346aa,dataset_signal,State Medicaid and CHIP Eligibility Processing Data,Centers for Medicare & Medicaid Services,cms;eligibility;medicaid;medicare,chip;cms;eligibility;medicaid;medicare;renewals;unwinding,2024-11-27,2026-06-26,,,,,,,,,false,false,,60,,"{""dataset_id"":""5abea2e0-3f8e-4b49-a50d-d63d5fd9103c"",""matched_keywords"":[""eligibility"",""Medicaid"",""Medicare""],""metric_name"":""beneficiaries_renewed_total"",""metric_period"":""202603"",""metric_value"":""23999"",""program_focus"":[""cms"",""eligibility"",""medicaid"",""medicare""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/cms_medicaid_dataset_signals.csv"",""source_score_evidence_keys"":[""dataset_id"",""endpoint_type"",""method"",""metric_name"",""metric_period"",""metric_value"",""rht_flag"",""signal_dimension"",""state"",""topic_keys"",""why_matters""],""state"":""ME"",""topic_keys"":[""chip"",""cms"",""eligibility"",""medicaid"",""medicare"",""renewals"",""unwinding""]}",beneficiaries_renewed_total; 23999; ME,,https://data.medicaid.gov/api/1/datastore/query/5abea2e0-3f8e-4b49-a50d-d63d5fd9103c/0,2026-07-24T04:43:51Z
