signal_id,source_key,endpoint_type,dataset_id,dataset_title,record_type,state,program_focus,topic_keys,metric_name,metric_value,metric_period,date_released,date_modified,rht_flag,importance_score,score_evidence_json,source_url,raw_json,last_checked_at
cmsmedicaid-950b022273a3ca32,medicaid_data,medicaid_datastore,4d4eaf55-33d3-4468-80b4-63553f4530ae,Section 1915(c) waiver program participants,dataset_signal,Indiana,medicaid,medicaid; 1915c; waiver; hcbs; service_use,section_1915c_waiver_enrollees,76776,2022,,2025-01-17,false,54,"{""dataset_id"":""4d4eaf55-33d3-4468-80b4-63553f4530ae"",""endpoint_type"":""medicaid_datastore"",""method"":""latest year category='Enrolled in 1915(c) waiver'"",""metric_name"":""section_1915c_waiver_enrollees"",""metric_period"":""2022"",""metric_value"":""76776"",""rht_flag"":false,""signal_dimension"":""Indiana"",""state"":""Indiana"",""topic_keys"":[""medicaid"",""1915c"",""waiver"",""hcbs"",""service_use""],""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",https://data.medicaid.gov/api/1/datastore/query/4d4eaf55-33d3-4468-80b4-63553f4530ae/0,"{""aggregation"":""latest year category='Enrolled in 1915(c) waiver'"",""denominator_count_of_enrollees"":""2,148,670"",""geography"":""Indiana"",""percentage_of_enrollees"":""3.6"",""source_row_count"":450,""source_rows_used"":450,""subpopulation"":""N/A"",""subpopulation_topic"":""N/A"",""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-debe93e199d2125e,medicaid_data,medicaid_datastore,4d4eaf55-33d3-4468-80b4-63553f4530ae,Section 1915(c) waiver program participants,dataset_signal,Iowa,medicaid,medicaid; 1915c; waiver; hcbs; service_use,section_1915c_waiver_enrollees,29249,2022,,2025-01-17,false,54,"{""dataset_id"":""4d4eaf55-33d3-4468-80b4-63553f4530ae"",""endpoint_type"":""medicaid_datastore"",""method"":""latest year category='Enrolled in 1915(c) waiver'"",""metric_name"":""section_1915c_waiver_enrollees"",""metric_period"":""2022"",""metric_value"":""29249"",""rht_flag"":false,""signal_dimension"":""Iowa"",""state"":""Iowa"",""topic_keys"":[""medicaid"",""1915c"",""waiver"",""hcbs"",""service_use""],""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",https://data.medicaid.gov/api/1/datastore/query/4d4eaf55-33d3-4468-80b4-63553f4530ae/0,"{""aggregation"":""latest year category='Enrolled in 1915(c) waiver'"",""denominator_count_of_enrollees"":""855,190"",""geography"":""Iowa"",""percentage_of_enrollees"":""3.4"",""source_row_count"":450,""source_rows_used"":450,""subpopulation"":""N/A"",""subpopulation_topic"":""N/A"",""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-28f52fd6308493b0,medicaid_data,medicaid_datastore,4d4eaf55-33d3-4468-80b4-63553f4530ae,Section 1915(c) waiver program participants,dataset_signal,Kansas,medicaid,medicaid; 1915c; waiver; hcbs; service_use,section_1915c_waiver_enrollees,31578,2022,,2025-01-17,false,54,"{""dataset_id"":""4d4eaf55-33d3-4468-80b4-63553f4530ae"",""endpoint_type"":""medicaid_datastore"",""method"":""latest year category='Enrolled in 1915(c) waiver'"",""metric_name"":""section_1915c_waiver_enrollees"",""metric_period"":""2022"",""metric_value"":""31578"",""rht_flag"":false,""signal_dimension"":""Kansas"",""state"":""Kansas"",""topic_keys"":[""medicaid"",""1915c"",""waiver"",""hcbs"",""service_use""],""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",https://data.medicaid.gov/api/1/datastore/query/4d4eaf55-33d3-4468-80b4-63553f4530ae/0,"{""aggregation"":""latest year category='Enrolled in 1915(c) waiver'"",""denominator_count_of_enrollees"":""496,555"",""geography"":""Kansas"",""percentage_of_enrollees"":""6.4"",""source_row_count"":450,""source_rows_used"":450,""subpopulation"":""N/A"",""subpopulation_topic"":""N/A"",""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-a427402fe8ab5729,medicaid_data,medicaid_datastore,4d4eaf55-33d3-4468-80b4-63553f4530ae,Section 1915(c) waiver program participants,dataset_signal,Kentucky,medicaid,medicaid; 1915c; waiver; hcbs; service_use,section_1915c_waiver_enrollees,30569,2022,,2025-01-17,false,54,"{""dataset_id"":""4d4eaf55-33d3-4468-80b4-63553f4530ae"",""endpoint_type"":""medicaid_datastore"",""method"":""latest year category='Enrolled in 1915(c) waiver'"",""metric_name"":""section_1915c_waiver_enrollees"",""metric_period"":""2022"",""metric_value"":""30569"",""rht_flag"":false,""signal_dimension"":""Kentucky"",""state"":""Kentucky"",""topic_keys"":[""medicaid"",""1915c"",""waiver"",""hcbs"",""service_use""],""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",https://data.medicaid.gov/api/1/datastore/query/4d4eaf55-33d3-4468-80b4-63553f4530ae/0,"{""aggregation"":""latest year category='Enrolled in 1915(c) waiver'"",""denominator_count_of_enrollees"":""1,713,427"",""geography"":""Kentucky"",""percentage_of_enrollees"":""1.8"",""source_row_count"":450,""source_rows_used"":450,""subpopulation"":""N/A"",""subpopulation_topic"":""N/A"",""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-441c3cbf38c045b4,medicaid_data,medicaid_datastore,4d4eaf55-33d3-4468-80b4-63553f4530ae,Section 1915(c) waiver program participants,dataset_signal,Louisiana,medicaid,medicaid; 1915c; waiver; hcbs; service_use,section_1915c_waiver_enrollees,25184,2022,,2025-01-17,false,54,"{""dataset_id"":""4d4eaf55-33d3-4468-80b4-63553f4530ae"",""endpoint_type"":""medicaid_datastore"",""method"":""latest year category='Enrolled in 1915(c) waiver'"",""metric_name"":""section_1915c_waiver_enrollees"",""metric_period"":""2022"",""metric_value"":""25184"",""rht_flag"":false,""signal_dimension"":""Louisiana"",""state"":""Louisiana"",""topic_keys"":[""medicaid"",""1915c"",""waiver"",""hcbs"",""service_use""],""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",https://data.medicaid.gov/api/1/datastore/query/4d4eaf55-33d3-4468-80b4-63553f4530ae/0,"{""aggregation"":""latest year category='Enrolled in 1915(c) waiver'"",""denominator_count_of_enrollees"":""1,909,077"",""geography"":""Louisiana"",""percentage_of_enrollees"":""1.3"",""source_row_count"":450,""source_rows_used"":450,""subpopulation"":""N/A"",""subpopulation_topic"":""N/A"",""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-5c577657dbb68469,medicaid_data,medicaid_datastore,4d4eaf55-33d3-4468-80b4-63553f4530ae,Section 1915(c) waiver program participants,dataset_signal,Maine,medicaid,medicaid; 1915c; waiver; hcbs; service_use,section_1915c_waiver_enrollees,9407,2022,,2025-01-17,false,54,"{""dataset_id"":""4d4eaf55-33d3-4468-80b4-63553f4530ae"",""endpoint_type"":""medicaid_datastore"",""method"":""latest year category='Enrolled in 1915(c) waiver'"",""metric_name"":""section_1915c_waiver_enrollees"",""metric_period"":""2022"",""metric_value"":""9407"",""rht_flag"":false,""signal_dimension"":""Maine"",""state"":""Maine"",""topic_keys"":[""medicaid"",""1915c"",""waiver"",""hcbs"",""service_use""],""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",https://data.medicaid.gov/api/1/datastore/query/4d4eaf55-33d3-4468-80b4-63553f4530ae/0,"{""aggregation"":""latest year category='Enrolled in 1915(c) waiver'"",""denominator_count_of_enrollees"":""462,360"",""geography"":""Maine"",""percentage_of_enrollees"":""2.0"",""source_row_count"":450,""source_rows_used"":450,""subpopulation"":""N/A"",""subpopulation_topic"":""N/A"",""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-72bf09e26ffb2856,medicaid_data,medicaid_datastore,4d4eaf55-33d3-4468-80b4-63553f4530ae,Section 1915(c) waiver program participants,dataset_signal,Maryland,medicaid,medicaid; 1915c; waiver; hcbs; service_use,section_1915c_waiver_enrollees,28147,2022,,2025-01-17,false,54,"{""dataset_id"":""4d4eaf55-33d3-4468-80b4-63553f4530ae"",""endpoint_type"":""medicaid_datastore"",""method"":""latest year category='Enrolled in 1915(c) waiver'"",""metric_name"":""section_1915c_waiver_enrollees"",""metric_period"":""2022"",""metric_value"":""28147"",""rht_flag"":false,""signal_dimension"":""Maryland"",""state"":""Maryland"",""topic_keys"":[""medicaid"",""1915c"",""waiver"",""hcbs"",""service_use""],""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",https://data.medicaid.gov/api/1/datastore/query/4d4eaf55-33d3-4468-80b4-63553f4530ae/0,"{""aggregation"":""latest year category='Enrolled in 1915(c) waiver'"",""denominator_count_of_enrollees"":""1,668,629"",""geography"":""Maryland"",""percentage_of_enrollees"":""1.7"",""source_row_count"":450,""source_rows_used"":450,""subpopulation"":""N/A"",""subpopulation_topic"":""N/A"",""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-7e4a95b631beb351,medicaid_data,medicaid_datastore,4d4eaf55-33d3-4468-80b4-63553f4530ae,Section 1915(c) waiver program participants,dataset_signal,Massachusetts,medicaid,medicaid; 1915c; waiver; hcbs; service_use,section_1915c_waiver_enrollees,36289,2022,,2025-01-17,false,54,"{""dataset_id"":""4d4eaf55-33d3-4468-80b4-63553f4530ae"",""endpoint_type"":""medicaid_datastore"",""method"":""latest year category='Enrolled in 1915(c) waiver'"",""metric_name"":""section_1915c_waiver_enrollees"",""metric_period"":""2022"",""metric_value"":""36289"",""rht_flag"":false,""signal_dimension"":""Massachusetts"",""state"":""Massachusetts"",""topic_keys"":[""medicaid"",""1915c"",""waiver"",""hcbs"",""service_use""],""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",https://data.medicaid.gov/api/1/datastore/query/4d4eaf55-33d3-4468-80b4-63553f4530ae/0,"{""aggregation"":""latest year category='Enrolled in 1915(c) waiver'"",""denominator_count_of_enrollees"":""2,218,247"",""geography"":""Massachusetts"",""percentage_of_enrollees"":""1.6"",""source_row_count"":450,""source_rows_used"":450,""subpopulation"":""N/A"",""subpopulation_topic"":""N/A"",""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-d85f14b970d0f4ce,medicaid_data,medicaid_datastore,4d4eaf55-33d3-4468-80b4-63553f4530ae,Section 1915(c) waiver program participants,dataset_signal,Michigan,medicaid,medicaid; 1915c; waiver; hcbs; service_use,section_1915c_waiver_enrollees,80471,2022,,2025-01-17,false,54,"{""dataset_id"":""4d4eaf55-33d3-4468-80b4-63553f4530ae"",""endpoint_type"":""medicaid_datastore"",""method"":""latest year category='Enrolled in 1915(c) waiver'"",""metric_name"":""section_1915c_waiver_enrollees"",""metric_period"":""2022"",""metric_value"":""80471"",""rht_flag"":false,""signal_dimension"":""Michigan"",""state"":""Michigan"",""topic_keys"":[""medicaid"",""1915c"",""waiver"",""hcbs"",""service_use""],""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",https://data.medicaid.gov/api/1/datastore/query/4d4eaf55-33d3-4468-80b4-63553f4530ae/0,"{""aggregation"":""latest year category='Enrolled in 1915(c) waiver'"",""denominator_count_of_enrollees"":""3,130,558"",""geography"":""Michigan"",""percentage_of_enrollees"":""2.6"",""source_row_count"":450,""source_rows_used"":450,""subpopulation"":""N/A"",""subpopulation_topic"":""N/A"",""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-133964735367d5da,medicaid_data,medicaid_datastore,4d4eaf55-33d3-4468-80b4-63553f4530ae,Section 1915(c) waiver program participants,dataset_signal,Minnesota,medicaid,medicaid; 1915c; waiver; hcbs; service_use,section_1915c_waiver_enrollees,101435,2022,,2025-01-17,false,54,"{""dataset_id"":""4d4eaf55-33d3-4468-80b4-63553f4530ae"",""endpoint_type"":""medicaid_datastore"",""method"":""latest year category='Enrolled in 1915(c) waiver'"",""metric_name"":""section_1915c_waiver_enrollees"",""metric_period"":""2022"",""metric_value"":""101435"",""rht_flag"":false,""signal_dimension"":""Minnesota"",""state"":""Minnesota"",""topic_keys"":[""medicaid"",""1915c"",""waiver"",""hcbs"",""service_use""],""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",https://data.medicaid.gov/api/1/datastore/query/4d4eaf55-33d3-4468-80b4-63553f4530ae/0,"{""aggregation"":""latest year category='Enrolled in 1915(c) waiver'"",""denominator_count_of_enrollees"":""1,486,506"",""geography"":""Minnesota"",""percentage_of_enrollees"":""6.8"",""source_row_count"":450,""source_rows_used"":450,""subpopulation"":""N/A"",""subpopulation_topic"":""N/A"",""why_matters"":""1915(c) waiver participation shows HCBS program scale and waiver administration demand.""}",2026-07-24T04:43:51Z
